Country,Region,Study_midyear,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP
Canada,British Columbia,2000.0,Pseudotsuga menziesii,Temperate,Evergreen,Dry,8.6,1452.0
Canada,British Columbia,2003.0,Pseudotsuga mensiesii,Temperate,Evergreen,Dry,8.6,1450.0
Canada,British Columbia,2004.0,Pseudotsuga mensiesii,Temperate,Evergreen,Dry,8.6,1450.0
Canada,British Columbia,2005.0,Pseudotsuga mensiesii,Temperate,Evergreen,Dry,8.6,1450.0
Brazil,Manaus,2007.5,Caesalpiniaceae,Tropical,Evergreen,Wet,26.7,2442.0
China,Sichuan,2007.0,Fagus longipetiolata Seem,Subtropical,Deciduous,Dry,13.0,1350.0
USA,Utah,2002.5,Grasses (mix),Temperate,Deciduous,Dry,12.5,207.0
Australia,Queensland,2006.0,Avicennia marina; Ceriops tagal,Tropical,Evergreen,Wet,24.6,1170.0
USA,Alaska,1983.0,Carex aquatilis; Cares limosa; Sphagnum riparium,Boreal,Evergreen,Wet,-3.5,280.0
USA,Alaska,1999.0,Picea mariana,Boreal,Evergreen,Dry,-3.3,269.0
USA,Alaska,2000.0,Picea mariana,Boreal,Evergreen,Dry,-3.3,269.0
Poland,Rzecin peatland site,2008.0,Caricetum,Temperate,Deciduous,Wet,8.5,526.0
Argentina,Buenos Aires province,2008.5,Paspalum quadrifarium,Tropical,Deciduous,Dry,15.5,1022.0
USA,Missouri,1998.0,Quercus velutina,Temperate,Deciduous,Dry,13.3,1120.0
Spain,Central-eastern,2011.0,Pinus nigra Arn. ssp. salzmannii,Mediterranean,Evergreen,Dry,11.1,652.0
Spain,Central-eastern,2012.0,Pinus nigra Arn. ssp. salzmannii,Mediterranean,Evergreen,Dry,11.1,652.0
Spain,Central-eastern,2013.0,Pinus nigra Arn. ssp. salzmannii,Mediterranean,Evergreen,Dry,11.1,652.0
Vietnam,Dong Nai,2011.5,"Lagerstroemi, Rubiaceae, Combretaceae, Dipterocarpaceae",Tropical,Evergreen,Wet,26.0,2450.0
USA,Ontario,2015.0,Acer saccharum,Temperate,Deciduous,Dry,4.7,920.0
Brazil,Pará,2005.5,Mixed,Tropical,Deciduous,Dry,25.7,2272.0
Brazil,Pará,2010.5,Mixed,Tropical,Evergreen,Dry,25.8,2311.0
Brazil,Pará,2002.0,Mix,Tropical,Evergreen,Dry,25.7,2272.0
Brazil,Pará,2002.5,Mix,Tropical,Evergreen,Dry,26.0,2272.0
USA,Minnesota,1965.5,"Thuja occidentalis, Fraxinus nigra, Quercus ellipsoidalis; Acer rubrum; Quercus alba; Betula papyrifera",Temperate,Evergreen,Wet,5.8,802.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
