Study_midyear,Country,Region,Site_name,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP,Species_traducida
1974.0,USA,Oregon,H.J. Andrews,Pseudotsuga menziesii-Rhododendron-Berberis,Temperate,Evergreen,Dry,8.5,2300.0,Pseudotsuga menziesii-Rhododendron-Berberis
1974.0,USA,Oregon,H.J. Andrews,Pseudotsuga menziesii-Rhododendron-Gaultheria,Temperate,Evergreen,Dry,8.5,2300.0,Pseudotsuga menziesii-Rhododendron-Gaultheria
1974.0,USA,Oregon,H.J. Andrews,Pseudotsuga menziesii-Castanopsis,Temperate,Evergreen,Dry,8.5,2300.0,Pseudotsuga menziesii-Castanopsis
1974.0,USA,Oregon,H.J. Andrews,Pseudotsuga menziesii-Castanopsis,Temperate,Evergreen,Dry,8.5,2300.0,Pseudotsuga menziesii-Castanopsis
1974.0,USA,Oregon,H.J. Andrews,Pseudotsuga menziesii-Acer-Polystichum,Temperate,Evergreen,Dry,8.5,2300.0,Pseudotsuga menziesii-Acer-Polystichum
1975.0,USA,Missouri,Tucker,Andropogon gerardi; Andropogon scoparius,Temperate,Deciduous,Dry,12.2,1000.0,Andropogon gerardi; Andropogon scoparius
1976.0,Venezuela,Amazonas,San Carlos de Rio Negro,Mix,Tropical,Evergreen,Dry,26.0,3500.0,Mix
1976.0,Venezuela,Amazonas,San Carlos de Rio Negro,Mix,Tropical,Evergreen,Dry,26.0,3500.0,Mix
1976.0,USA,Tennessee,Oak Ridge,Quercus spp.,Temperate,Deciduous,Dry,13.3,1265.0,Quercus spp.
1976.0,USA,Tennessee,Oak Ridge,Quercus spp.,Temperate,Deciduous,Dry,13.3,1265.0,Quercus spp.
1977.0,USA,Tennessee,Oak Ridge,Liriodendron tulipifera,Temperate,Deciduous,Dry,13.3,1265.0,Liriodendron tulipifera
1977.0,USA,Tennessee,Oak Ridge,Liriodendron tulipifera,Temperate,Deciduous,Dry,13.3,1265.0,Liriodendron tulipifera
1978.0,USA,Alaska,Washington Creek Experimental Area,Picea mariana,Boreal,Evergreen,Dry,-2.9,300.0,Picea mariana
1979.0,USA,Washington,Findley Lake,Abies amabilis,Temperate,Evergreen,Dry,5.5,2300.0,Abies amabilis
1979.0,USA,New Mexico,NMSU Ranch,Larrea tridentata,Temperate,Evergreen,Dry,11.1,374.0,Larrea tridentata
1979.0,USA,Washington,A.E. Thompson Research Center,Pseudotsuga menziesii,Temperate,Evergreen,Dry,7.8,1850.0,Pseudotsuga menziesii
1979.0,USA,Washington,A.E. Thompson Research Center,Alnus rubra,Temperate,Evergreen,Dry,7.8,1850.0,Alnus rubra
1979.0,USA,Washington,A.E. Thompson Research Center,Tsuga heterophylla,Temperate,Evergreen,Dry,7.8,1850.0,Tsuga heterophylla
1980.0,USA,South Carolina,Savannah River Plant,Pinus palustris,Temperate,Evergreen,Dry,18.0,1200.0,Pinus palustris
1980.0,USA,South Carolina,Savannah River Plant,Pinus palustris,Temperate,Evergreen,Dry,18.0,1200.0,Pinus palustris
1980.0,Japan,Hiroshima,Mt. Takao,Pinus densiflora,Temperate,Evergreen,Dry,15.0,1544.0,Pinus densiflora
1980.0,USA,South Carolina,Savannah River Plant,Pinus palustris,Temperate,Evergreen,Dry,18.0,1200.0,Pinus palustris
1980.0,USA,Alaska,Schlentner4,Picea glauca,Boreal,Evergreen,Dry,-3.5,286.0,Picea glauca
1980.0,USA,Alaska,Schlentner3,Picea mariana,Boreal,Evergreen,Dry,-3.5,286.0,Picea mariana
1980.0,USA,South Carolina,Savannah River Plant,Pinus palustris,Temperate,Evergreen,Dry,18.0,1200.0,Pinus palustris
1980.0,USA,Alaska,Schlentner2,Betula papyrifera,Boreal,Deciduous,Dry,-3.5,286.0,Betula papyrifera
1980.0,USA,Alaska,Schlentner1,Populus tremuloides,Boreal,Deciduous,Dry,-3.5,286.0,Populus tremuloides
1980.5,USA,Alaska,Bonanza Creek,Picea glauca,Boreal,Evergreen,Dry,-3.5,280.0,Picea glauca
1980.5,USA,Tennessee,Walker Branch,Quercus prinus,Temperate,Deciduous,Dry,13.3,1400.0,Quercus prinus
1980.5,USA,Alaska,Bonanza Creek,Picea glauca,Boreal,Evergreen,Dry,-3.5,280.0,Picea glauca
1980.5,USA,Alaska,Bonanza Creek,Picea glauca,Boreal,Evergreen,Dry,-3.5,280.0,Picea glauca
1981.0,USA,Tennessee,Oak Ridge,Quercus spp.,Temperate,Deciduous,Dry,14.0,1500.0,Quercus spp.
