Entry_date,Duplicate_record,Quality_flag,Country,Region,Site_name,Site_ID,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_interval,Annual_coverage,Rs_annual,Rs_annual_err,Rs_interann_err,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_season,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes
2017-02-08,,,China,,Dinghushan Biosphere Reserve-MF,CN-SCB-BFNL,2012.0,2.5,23.17,112.525,,Litter manipulation,No litter,,400.0,Castanopsis chinensis; Schima superba; Cryptocarya chinensis; Cryptocarya concinna; Machilus chinensis; Syzygium rehderianum,Tropical,Forest,Natural,Ultisol,Dry,,,,,,21.7,1700.0,,,,90.0,1.0,842.0,,,,,,,,,,,,2.23,1.74,,,,,,,,,,241.0,,,,,,,,,,,,,,
2017-02-08,5959,,China,,Dinghushan Biosphere Reserve-MF,CN-SCB-BF,2012.0,2.5,23.17,112.525,,,,,400.0,Castanopsis chinensis; Schima superba; Cryptocarya chinensis; Cryptocarya concinna; Machilus chinensis; Syzygium rehderianum,Tropical,Forest,Natural,Ultisol,Dry,,,,,,21.7,1700.0,,,,90.0,1.0,1311.0,,,,,,,,,,,,3.44,2.44,,,,,,,,,,294.5,,,,,,,,,,,,,,
2017-02-08,5962,,China,,Dinghushan Biosphere Reserve-MF,CN-SCB-BFEL,2012.0,2.5,23.17,112.525,,Litter manipulation,Extra litter,,400.0,Castanopsis chinensis; Schima superba; Cryptocarya chinensis; Cryptocarya concinna; Machilus chinensis; Syzygium rehderianum,Tropical,Forest,Natural,Ultisol,Dry,,,,,,21.7,1700.0,,,,90.0,1.0,1687.0,,,,,,,,,,,,6.83,4.19,,,,,,,,,,193.0,,,,,,,,,,,,,,
2017-02-08,,,China,Beijing,Mt. Dongling,CN-DOL-1350M,1993.5,2.5,39.95166667,115.4275,1350.0,,,,2.0,Betula platyphylla,Tropical,Forest,Managed,Dark-brown,Dry,,,,,,4.8,611.9,,,,90.0,1.0,309.0,,,,31.0,278.0,0.1,,,,,,,,,730.0,635.0,95.0,373.0,,,,,163.0,,,,,,,4790.0,,,,830.0,20700.0,,Some data from study 10441
2017-02-08,,,China,Beijing,Mt. Dongling,CN-DOL-1150M,1993.5,2.5,39.95722222,115.4247222,1150.0,,,,2.0,Quercus wutaishanica,Tropical,Forest,Managed,Dark-brown,Dry,,,,,,4.8,611.9,,,,90.0,1.0,390.0,,,,41.0,349.0,0.11,,,,,,,,,539.0,568.0,-29.0,320.0,,,,,187.0,,,,,,,3600.0,,,,300.0,23910.0,,Some data from study 10441
2017-02-08,,,China,Beijing,Mt. Dongling,CN-DOL-1050M,1993.5,2.5,39.95944444,115.5277778,1050.0,,,,2.0,Pinus tabulaeformis,Tropical,Forest,Managed,Dark-brown,Dry,,,,,,4.8,611.9,,,,90.0,1.0,237.0,,,,56.0,181.0,0.24,,,,,,,,,1282.0,874.0,408.0,589.0,,,,,234.0,,,,,,,5050.0,,,,1200.0,23170.0,,Some data from study 10441
2017-02-08,,,China,Beijing,Mt. Dongling,CN-DOL-1350M,2014.0,3.0,39.95166667,115.4275,1350.0,,,,20.0,Betula platyphylla,Tropical,Forest,Managed,Dark-brown,Dry,,,,,,4.8,611.9,,,,90.0,1.0,574.0,,,,,,,,,,,,,,,,,,532.0,,,,,184.0,,,,,,,9735.0,,,,1140.0,21480.0,,
2017-02-08,,,China,Beijing,Mt. Dongling,CN-DOL-1150M,2014.0,3.0,39.95722222,115.4247222,1150.0,,,,20.0,Quercus wutaishanica,Tropical,Forest,Managed,Dark-brown,Dry,,,,,,4.8,611.9,,,,90.0,1.0,455.0,,,,,,,,,,,,,,,,,,453.0,,,,,202.0,,,,,,,7480.0,,,,610.0,24170.0,,
2017-02-08,,,China,Beijing,Mt. Dongling,CN-DOL-1050M,2014.0,3.0,39.95944444,115.5277778,1050.0,,,,20.0,Pinus tabulaeformis,Tropical,Forest,Managed,Dark-brown,Dry,,,,,,4.8,611.9,,,,90.0,1.0,414.0,,,,,,,,,,,,,,,,,,673.0,,,,,245.0,,,,,,,10575.0,,,,210.0,23840.0,,
2017-02-08,,,China,,Jiulong River Estuary Mangrove Reserve,CN-JLR-KAND,2013.5,1.0,24.38,117.9,,,,,,Kandelia obovata,Subtropical,Forest,Natural,,Wet,,,,,,21.0,1371.0,,,,90.0,1.0,164.0,,,,,,,0.59,0.45,0.44,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,,,China,,Jiulong River Estuary Mangrove Reserve,CN-JLR-SONN,2013.5,1.0,24.38,117.9,,,,,,Sonneratia apetala,Subtropical,Forest,Unmanaged,,Wet,,,,,,21.0,1371.0,,,,90.0,1.0,286.0,,,,,,,0.8,0.89,0.76,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,,,China,,Jiulong River Estuary Mangrove Reserve,CN-JLR-CYPE,2013.5,1.0,24.38,117.9,,,,,,Cyperus malaccensis,Subtropical,Forest,Natural,,Wet,,,,,,21.0,1371.0,,,,90.0,1.0,123.0,,,,,,,0.31,0.45,0.3,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,,,China,,Jiulong River Estuary Mangrove Reserve,CN-JLR-SPAR,2013.5,1.0,24.38,117.9,,,,,,Spartina alterniflora,Subtropical,Forest,Natural,,Wet,,,,,,21.0,1371.0,,,,90.0,1.0,179.0,,,,,,,0.38,0.6,0.39,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,,,China,Sichuan,Miyaluo Experimental Forest,CN-MEF-22YR,2008.0,1.0,31.78,102.7,3215.0,,,,22.0,Picea asperata,Temperate,Forest,Unmanaged,Aqualfs,Dry,,,,,,7.27,687.3,,,,14.0,1.0,1004.0,,,,348.0,656.0,0.35,,,,,,,,,,,,,,,,,200.0,,,,1.56,7.0,,,,,,,,,
2017-02-08,,,China,Sichuan,Miyaluo Experimental Forest,CN-MEF-47YR,2008.0,1.0,31.78,102.7,3207.0,,,,47.0,Picea asperata,Temperate,Forest,Unmanaged,Aqualfs,Dry,,,,,,7.27,687.3,,,,14.0,1.0,792.0,,,,249.0,543.0,0.31,,,,,,,,,,,,,,,,,500.0,,,,2.38,15.0,,,,,,,,,
2017-02-08,,,China,Sichuan,Miyaluo Experimental Forest,CN-MEF-68YR,2008.0,1.0,31.78,102.7,3135.0,,,,68.0,Picea asperata,Temperate,Forest,Unmanaged,Aqualfs,Dry,,,,,,7.27,687.3,,,,14.0,1.0,952.0,,,,345.0,607.0,0.36,,,,,,,,,,,,,,,,,525.0,,,,2.05,47.0,,,,,,,,,
2017-02-08,,,China,Sichuan,Miyaluo Experimental Forest,CN-MEF-150YR,2008.0,1.0,31.78,102.7,3378.0,,,,150.0,Picea asperata; Abies faxoniana; Betula albo-sinensis; Betula utilis,Temperate,Forest,Natural,Aqualfs,Dry,,,,,,7.27,687.3,,,,14.0,1.0,1070.0,,,,358.0,712.0,0.33,,,,,,,,,,,,,,,,,1545.0,,,,1.9,98.0,,,,,,,,,
2017-02-08,,,Thailand,Ratchaburi,,TH-RAT,2008.5,1.0,13.58702778,99.50108333,110.0,,,,7.0,Dipterocarpus intricatus; Dipterocarpus obtusifolius; Dipterocarpus tuberculatus; Shorea obtusa; Shorea siamensis,Tropical,Forest,Managed,Loamy sand,Dry,1.35,,,,,,1253.0,,,,0.1,1.0,3200.0,,488.0,,1000.0,2200.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,,,Thailand,Ratchaburi,,TH-RAT,2009.5,1.0,13.58702778,99.50108333,110.0,,,,7.0,Dipterocarpus intricatus; Dipterocarpus obtusifolius; Dipterocarpus tuberculatus; Shorea obtusa; Shorea siamensis,Tropical,Forest,Managed,Loamy sand,Dry,1.35,,,,,,1253.0,,,,0.1,1.0,3890.0,,262.0,,990.0,2900.0,0.25,,,,,,,,,,,,,,,,,334.0,,,,,,,,,,,,,,
2017-02-08,,,Thailand,Ratchaburi,,TH-RAT,2010.5,1.0,13.58702778,99.50108333,110.0,,,,7.0,Dipterocarpus intricatus; Dipterocarpus obtusifolius; Dipterocarpus tuberculatus; Shorea obtusa; Shorea siamensis,Tropical,Forest,Managed,Loamy sand,Dry,1.35,,,,,,1253.0,,,,0.1,1.0,3520.0,,438.0,,1220.0,2300.0,0.35,,,,,,,,,,,,,,,,,322.5,,,,,,,,,,,,,,
